timestamp,open,high,low,close,adjusted close,volume,dividend amount
2014-07-31,587.6500,608.9100,572.1001,579.5500,28.9444,38583300,0.0000
2014-06-30,569.7500,589.6000,547.4700,584.6700,29.2001,39445800,0.0000
2014-05-30,534.2500,577.6600,511.0900,571.6500,28.5499,41456800,0.0000
2014-04-30,1120.2700,1144.8000,511.0000,534.8800,26.7135,68887600,567.9717
2014-03-31,1206.7500,1226.9900,1102.1000,1114.5100,27.9171,87224100,0.0000
2014-02-28,1179.2000,1228.8800,1128.0200,1215.6500,30.4506,81010500,0.0000
2014-01-31,1115.4600,1186.5400,1082.2700,1180.9700,29.5819,108913300,0.0000
2013-12-31,1063.5100,1121.0000,1049.0200,1120.7100,28.0724,67617600,0.0000
2013-11-29,1031.7900,1068.0000,1005.0000,1059.5900,26.5414,52459700,0.0000
2013-10-31,880.2500,1041.5200,842.9800,1030.5800,25.8148,110337300,0.0000
2013-09-30,854.3600,905.9900,853.9500,875.9100,21.9405,66180000,0.0000
2013-08-30,895.0000,909.7090,845.5600,846.9000,21.2138,66906000,0.0000
2013-07-31,886.4500,928.0000,875.6100,887.7500,22.2371,102387300,0.0000
2013-06-28,873.0000,910.8400,847.2200,880.3700,22.0522,97063000,0.0000
2013-05-31,823.2600,920.6000,816.3600,871.2180,21.8230,98734600,0.0000
2013-04-30,795.0100,827.6400,761.2601,824.5700,20.6545,106996300,0.0000
2013-03-28,797.8000,844.0000,793.3000,794.1880,19.8934,85011800,0.0000
2013-02-28,758.2000,808.9700,758.1000,801.2000,20.0691,92587100,0.0000
2013-01-31,719.4200,760.9500,695.5200,755.6900,18.9291,104704600,0.0000
2012-12-31,702.2400,738.2800,682.3301,707.3800,17.7190,83306700,0.0000
2012-11-30,679.5000,699.2200,636.0000,698.3700,17.4933,93264000,0.0000
2012-10-31,759.0500,774.3800,669.7000,680.2976,17.0406,143452800,0.0000
2012-09-28,684.5500,764.8900,673.5000,754.5000,18.8993,120233800,0.0000
